Madrid-Oeste;28061298;CPR INF-PRI-SEC;COLEGIO INTERNACIONAL KOLBE;Avenida Universidad , 4;Villanueva de la Cañada;-;28691;918117681;918117684;Motóricos;Privado Concertado
Madrid-Este;28060099;CPR INF-PRI-SEC;COLEGIO INTERNACIONAL SANTO TOMAS DE AQUINO;Camino Del Molino , s/n;Camarma de Esteruelas;-;28816;918771215;918771216;-;Privado
Madrid-Norte;28024654;CPR INF-PRI-SEC;COLEGIO INTERNACIONAL SEK-CIUDALCAMPO;Paseo De Las Perdices , 2;San Sebastián de los Reyes;-;28707;916596303;916596304;-;Privado
Madrid-Oeste;28025579;CPR INF-PRI-SEC;COLEGIO INTERNACIONAL SEK-EL CASTILLO;Calle Castillo De Alarcón , 49;Villanueva de la Cañada;-;28692;918150892;918151140;-;Privado
Madrid-Sur;28070871;CPR INF-PRI-SEC;COLEGIO JUAN PABLO II;Calle Democracia , s/n;Alcorcón;-;28922;916430950;916430950;-;Privado Concertado
Madrid-Capital;28013048;CPR INF-PRI-SEC;COLEGIO LA MILAGROSA;Calle De Monseñor Oscar Romero , 54;Madrid;Carabanchel;28025;914623066;914623133;-;Privado Concertado
Madrid-Sur;28067859;CPR INF-PRI-SEC;COLEGIO LITTERATOR;Calle Del Patrimonio Mundial , 5;Aranjuez;-;28300;918927139;918927131;-;Privado Concertado
Madrid-Este;28067422;CPR INF-PRI-SEC;COLEGIO MIRAMADRID;Avenida De Juan Pablo Ii , s/n;Paracuellos de Jarama;-;28860;912688787;912688588;Transt. Desarrollo;Privado Concertado
Madrid-Oeste;28070858;CPR INF-PRI-SEC;COLEGIO MONTESCLAROS;Carretera M-608 , km.31;Boalo, El;-;28411;918420269;-;-;Privado Concertado
Madrid-Sur;28070159;CPR INF-PRI-SEC;COLEGIO NOBELIS;Calle María Zambrano , s/n;Valdemoro;-;28341;918658125;918658108;-;Privado Concertado
Madrid-Sur;28069418;CPR INF-PRI-SEC;COLEGIO NOVA HISPALIS;Avenida Dos De Mayo , 4;Sevilla la Nueva;-;28609;918128291;918128808;-;Privado Concertado
Madrid-Capital;28007309;CPR INF-PRI-SEC;COLEGIO NUEVO EQUIPO;Calle De López De Aranda , 5;Madrid;Ciudad Lineal;28027;917421611;917422016;-;Privado Concertado
Madrid-Oeste;28065760;CPR INF-PRI-SEC;COLEGIO PEÑALAR;Avenida De La Dehesa , s/n;Torrelodones;-;28250;902252272;91 8549307;-;Privado Concertado
